  Date       Day       Time        Type          Message
02/17/21     Wed     23:01:27     Check     File name validation Initialized
02/17/21     Wed     23:01:27     Check     Generation of directories Initialized
02/17/21     Wed     23:01:27     Done      Generation of directories Completed
02/17/21     Wed     23:01:27     Check     File name validation Initialized
02/17/21     Wed     23:01:27     Done      File name validation Completed
02/17/21     Wed     23:01:27     Check     File Data Validation Initialized
02/17/21     Wed     23:01:27     Check     Loading Source of Truth Initialized
02/17/21     Wed     23:01:27     Done      Loading Source of Truth Done
02/17/21     Wed     23:01:27     Check     File data validation Initialized
02/17/21     Wed     23:01:28     Done      File data validation Completed
02/17/21     Wed     23:01:28     Check     Database insertion Initialized
02/17/21     Wed     23:01:28     Check     Database Connectivity Initialized
02/17/21     Wed     23:01:28     Done      Database Connectivity Completed
02/17/21     Wed     23:01:28     Done      Database Initialized
02/17/21     Wed     23:01:28     Check     Database Initialized
02/17/21     Wed     23:01:28     Done      Database Created
02/17/21     Wed     23:01:28     Check     Table Creation Initialized
02/17/21     Wed     23:01:28     Done      Table Created Successfully
02/17/21     Wed     23:01:28     Check     Inserting of data into database Initialized
02/17/21     Wed     23:01:35     Done      Insertion of data on database is Completed
02/17/21     Wed     23:01:35     Check     Exporting to .csv Initialized
02/17/21     Wed     23:01:35     Done      Exporting to .csv Completed
02/17/21     Wed     23:01:35     Check     Data Transformation Initialized
02/17/21     Wed     23:01:35     Check     Recovering Missing values Initialized
02/17/21     Wed     23:01:35     Done      Recovering Missing values Completed
02/17/21     Wed     23:01:35     Check     Generating files Initialized
02/17/21     Wed     23:01:35     Done      Generating files Completed
02/17/21     Wed     23:01:35     Check     Scaling values Initialized
02/17/21     Wed     23:01:35     Done      Scaling values Completed
02/17/21     Wed     23:01:35     Check     Splitting X and y Initialized
02/17/21     Wed     23:01:35     Done      Spliiting X and y Completed
02/17/21     Wed     23:01:35     Check     Label Encoding Initialized
02/17/21     Wed     23:01:35     Done      Label Encoding Completed
02/17/21     Wed     23:01:35     Check     Exporting processed .csv file Initialized
02/17/21     Wed     23:01:35     Done      Exporting processed .csv file Completed
02/17/21     Wed     23:01:35     Check     Data Preprocessing Initialized
02/17/21     Wed     23:01:35     Check     Data Preprocessing Pipeline Initialized
02/17/21     Wed     23:01:35     Check     Generating_Files Initialized
02/17/21     Wed     23:01:35     Done      Generating_Files Completed
02/17/21     Wed     23:01:38     Check     Dimensionality Redction Initialized
02/17/21     Wed     23:01:38     Done      Dimensionality Reduction Completed
02/17/21     Wed     23:01:38     Check     Clustering Initialized
02/17/21     Wed     23:01:46     Done      Clustering Completed
02/17/21     Wed     23:01:46     Check     Exporting Clusered dataset Initialized
02/17/21     Wed     23:01:47     Done      Exporting Clustered dataset Completed
02/17/21     Wed     23:01:47     Done      Data Preprocessing Pipeline Completed
02/17/21     Wed     23:01:47     Check     8 Cluster
02/17/21     Wed     23:01:47     Check     Less number of samples hence rejected treated as Outlier
