,Features,VIF
0,MSSubClass,5.25163592140794
1,MSZoning,31.080583428570936
2,LotFrontage,1.778816065952546
3,LotArea,1.6367873300670102
4,Street,192.53143099960675
5,LotShape,3.618291433704067
6,LandContour,20.859723078724862
7,Utilities,1.1017525200086968
8,LotConfig,5.080194129705955
9,LandSlope,1.6666253898473542
10,Neighborhood,6.34519040839792
11,Condition1,7.075363829087906
12,Condition2,60.03887610743918
13,BldgType,5.317221536802363
14,HouseStyle,7.851035199562961
15,OverallQual,3.8810646386135885
16,OverallCond,1.9612080958547708
17,YearBuilt,7.727140760491397
18,YearRemodAdd,2.8849275956988585
19,RoofStyle,4.890469942026715
20,RoofMatl,4.914181866244238
21,Exterior1st,41.25213725879206
22,Exterior2nd,39.340371087479426
23,MasVnrType,12.189157780324486
24,MasVnrArea,1.7539108572500155
25,ExterQual,39.73829555010453
26,ExterCond,32.03392258201469
27,Foundation,9.863478056454857
28,BsmtQual,17.0337607822617
29,BsmtCond,21.557015644881876
30,BsmtExposure,7.3135000235450915
31,BsmtFinType1,5.964810920925377
32,BsmtFinSF1,inf
33,BsmtFinType2,60.11070439797047
34,BsmtFinSF2,inf
35,BsmtUnfSF,inf
36,TotalBsmtSF,inf
37,Heating,18.400358729065037
38,HeatingQC,2.933662296150109
39,CentralAir,26.435087405556406
40,Electrical,17.715557388093725
41,1stFlrSF,inf
42,2ndFlrSF,inf
43,LowQualFinSF,inf
44,GrLivArea,inf
45,BsmtFullBath,2.3443838924816274
46,BsmtHalfBath,1.2398450599051996
47,FullBath,3.1789725663465296
48,HalfBath,2.3649316628304162
49,BedroomAbvGr,2.6635472491727126
50,KitchenAbvGr,1.7331257534835185
51,KitchenQual,18.586498596141627
52,TotRmsAbvGrd,5.347806492109195
53,Functional,40.19633792264867
54,Fireplaces,1.708621719006025
55,FireplaceQu,8.050722145168413
56,GarageType,4.567799525030525
57,GarageYrBlt,3.7112901809172065
58,GarageFinish,6.06313081704987
59,GarageCars,5.9590424454422655
60,GarageArea,6.022095100673307
61,GarageQual,62.78441202500248
62,GarageCond,83.34030330975348
63,PavedDrive,22.081033228775585
64,WoodDeckSF,1.288437771031411
65,OpenPorchSF,1.302824020236066
66,EnclosedPorch,1.3256110675292248
67,3SsnPorch,1.0561041655353545
68,ScreenPorch,1.1647014332335741
69,PoolArea,1.172714014935733
70,MiscVal,1.0784093091455975
71,MoSold,1.0773502591775093
72,YrSold,1.0854597303366629
73,SaleType,27.963773601499966
74,SaleCondition,15.358010374912809
